OBJECTID,GEOID10,COUNTYFP10,TRACTCE10,Cnty_Name,City_Name,ZIP,Acres,SqMi,Pop_16,Pop_Den,Pop_Src,Pop_10,White_Pct,Black_Pct,Asian_Pct,Latino_Pct,Mltpl_Pct,NatAm_Pct,PacIs_Pct,Other_Pct,NonWhite_P,Race_Src,Elders_Pct,Elders_Rpt,Elders_Src,SpksEng_Pc,SpksEng_Rp,SpksEng_Sr,UnEmp_Rate,Emp_15,Emp_Den,Emp_Src,Income_Pct,Income_Rpt,Income_Src,Under19_Pc,MHI2016
1,06025011802,025,011802,Imperial,El Centro,92243,423.847547,0.662262,5582,8429,ACS_16_5YR,4870,20.927814,2.392344,2.662783,74.017058,0,0,0,0,79.072186,2017 HPI,12.2,2011-2015,ACS_15_5YR_S0101,87.337278,2011-2015,ACS_15_5YR_B16002,0.102075,1475,2227.215911,LEHD 2015,43913,2011-2015,ACS_15_5YR_DP03,31.5,43833
2,06025011700,025,011700,Imperial,El Centro,92243,484.274076,0.756678,5469,7228,ACS_16_5YR,4797,15.654054,0,0,84.345946,0,0,0,0,84.345946,2018 HPI,11.1,2011-2015,ACS_15_5YR_S0101,84.289813,2011-2015,ACS_15_5YR_B16002,0.153078,2285,3019.777586,LEHD 2015,47000,2011-2015,ACS_15_5YR_DP03,28.6,47670
3,06025011600,025,011600,Imperial,El Centro,92243,505.80547,0.790321,6021,7618,ACS_16_5YR,6310,12.219492,0,0,87.780508,0,0,0,0,87.780508,2019 HPI,10.5,2011-2015,ACS_15_5YR_S0101,80.615047,2011-2015,ACS_15_5YR_B16002,0.33033,2247,2843.148374,LEHD 2015,23982,2011-2015,ACS_15_5YR_DP03,27.8,29135
4,06025011500,025,011500,Imperial,El Centro,92243,505.684858,0.790133,6347,8033,ACS_16_5YR,6232,7.639231,2.152127,0,90.208641,0,0,0,0,92.360769,2020 HPI,11.6,2011-2015,ACS_15_5YR_S0101,66.229117,2011-2015,ACS_15_5YR_B16002,0.18486,4026,5095.34735,LEHD 2015,24868,2011-2015,ACS_15_5YR_DP03,29.4,25805
5,06025011400,025,011400,Imperial,El Centro,92243,985.116682,1.539245,4454,2894,ACS_16_5YR,4580,2.329158,5.361459,0,92.309383,0,0,0,0,97.670842,2021 HPI,13.9,2011-2015,ACS_15_5YR_S0101,77.679291,2011-2015,ACS_15_5YR_B16002,0.224468,1738,1129.125128,LEHD 2015,28925,2011-2015,ACS_15_5YR_DP03,33.4,28103
6,06025011803,025,011803,Imperial,El Centro,92243,3084.501457,4.819534,6373,1322,ACS_16_5YR,5937,18.669195,0,5.481813,75.848992,0,0,0,0,81.330805,2022 HPI,7.6,2011-2015,ACS_15_5YR_S0101,94.545455,2011-2015,ACS_15_5YR_B16002,0.094656,1068,221.598209,LEHD 2015,95024,2011-2015,ACS_15_5YR_DP03,37.6,93883
7,06025010500,025,010500,Imperial,Brawley,92227,896.592316,1.400925,6639,4739,ACS_16_5YR,6593,19.488619,1.652635,0,78.858746,0,0,0,0,80.511381,2023 HPI,11.3,2011-2015,ACS_15_5YR_S0101,86.637512,2011-2015,ACS_15_5YR_B16002,0.195612,1233,880.132459,LEHD 2015,43185,2011-2015,ACS_15_5YR_DP03,33.9,43584
8,06025010400,025,010400,Imperial,Brawley,92227,1524.706346,2.382354,8176,3432,ACS_16_5YR,7162,3.634315,1.408649,0,94.957036,0,0,0,0,96.365685,2024 HPI,9.7,2011-2015,ACS_15_5YR_S0101,77.855362,2011-2015,ACS_15_5YR_B16002,0.306784,1610,675.802264,LEHD 2015,26425,2011-2015,ACS_15_5YR_DP03,40.6,27228
9,06025010300,025,010300, , ,92227,115597.616999,180.621277,1115,6,ACS_16_5YR,933,43.186813,0,0,56.813187,0,0,0,0,56.813187,2025 HPI,14.5,2011-2015,ACS_15_5YR_S0101,0, , ,0.164557,1064,5.890779,LEHD 2015,0, , ,26.5,62833
10,06025012001,025,012001,Imperial,Calexico,92231,141.29896,0.22078,4281,19390,ACS_16_5YR,3831,0,0,0,100,0,0,0,0,100,2026 HPI,15.5,2011-2015,ACS_15_5YR_S0101,62.735382,2011-2015,ACS_15_5YR_B16002,0.353597,307,1390.52687,LEHD 2015,23628,2011-2015,ACS_15_5YR_DP03,33.8,19737
11,06025010101,025,010101, , ,92233,93903.34929,146.723983,4223,29,ACS_16_5YR,4601,19.591562,33.819569,0,46.588869,0,0,0,0,80.408438,2027 HPI,0.3,2011-2015,ACS_15_5YR_S0101,0, , ,0.101266,1454,9.909764,LEHD 2015,0, , ,2,
12,06025012002,025,012002,Imperial,Calexico,92231,1211.756416,1.893369,10446,5517,ACS_16_5YR,9678,2.068607,0,2.380457,95.550936,0,0,0,0,97.931393,2028 HPI,9.6,2011-2015,ACS_15_5YR_S0101,69.601874,2011-2015,ACS_15_5YR_B16002,0.157982,1141,602.629365,LEHD 2015,56977,2011-2015,ACS_15_5YR_DP03,32.6,59089
13,06025010102,025,010102,Imperial, ,92233,104450.91535,163.204555,4655,29,ACS_16_5YR,5007,15.410108,2.899751,0,81.690141,0,0,0,0,84.589892,2029 HPI,13,2011-2015,ACS_15_5YR_S0101,82.210835,2011-2015,ACS_15_5YR_B16002,0.175542,1087,6.660353,LEHD 2015,28386,2011-2015,ACS_15_5YR_DP03,38.5,27757
14,06025010200,025,010200,Imperial, ,92281,55242.694485,86.31671,2397,28,ACS_16_5YR,2640,14.522982,0,0,85.477018,0,0,0,0,85.477018,2030 HPI,13,2011-2015,ACS_15_5YR_S0101,72.078907,2011-2015,ACS_15_5YR_B16002,0.135392,587,6.800537,LEHD 2015,33342,2011-2015,ACS_15_5YR_DP03,36,34167
